primary_category,total_orders,cancellation_rate,avg_installments,boleto_pct,high_inst_pct
Fashion Sport,25,0.0,2.48,0.32,0.0
Fashion Underwear Beach,121,0.0,2.330578512396694,0.2066115702479339,0.05785123966942149
Fixed Telephony,217,0.0,2.622119815668203,0.22580645161290322,0.08294930875576037
Flowers,27,0.0,1.1111111111111112,0.2222222222222222,0.0
Food,445,0.0,1.9640449438202248,0.22247191011235956,0.04269662921348315
Food Drink,226,0.0,2.0,0.24336283185840707,0.04424778761061947
Furniture Bedroom,93,0.0,2.978494623655914,0.27956989247311825,0.0967741935483871
Furniture Decor,6350,0.0,3.0137007874015747,0.2078740157480315,0.12645669291338582
Furniture Living Room,411,0.0,3.4963503649635035,0.1897810218978102,0.18004866180048662
Furniture Mattress And Upholstery,38,0.0,3.473684210526316,0.15789473684210525,0.15789473684210525
Garden Tools,3479,0.0,2.932451853981029,0.2319632078183386,0.1304972693302673
Health Beauty,8810,0.0,3.049608355091384,0.1927355278093076,0.1318955732122588
Home Appliances,764,0.0,1.9581151832460733,0.17801047120418848,0.056282722513089
Home Appliances 2,233,0.0,4.493562231759657,0.1888412017167382,0.2875536480686695
Home Comfort 2,23,0.0,1.565217391304348,0.21739130434782608,0.043478260869565216
Home Confort,351,0.0,4.2250712250712255,0.17094017094017094,0.2535612535612536
Home Construction,467,0.0,3.428265524625268,0.17558886509635974,0.1777301927194861
Housewares,5812,0.0,2.9796971782518926,0.17773571920165177,0.12284927735719202
Industry Commerce And Business,232,0.0,2.6724137931034484,0.21551724137931033,0.09482758620689655
Kitchen Dining Laundry Garden Furniture,243,0.0,3.654320987654321,0.1934156378600823,0.20164609053497942
La Cuisine,11,0.0,4.7272727272727275,0.0,0.36363636363636365
Luggage Accessories,1026,0.0,3.4298245614035086,0.1539961013645224,0.15886939571150097
Market Place,270,0.0,2.7888888888888888,0.26296296296296295,0.11851851851851852
Music,37,0.0,3.0,0.24324324324324326,0.08108108108108109
Musical Instruments,623,0.0,3.548956661316212,0.21669341894060995,0.21348314606741572
Office Furniture,1263,0.0,3.6120348376880442,0.276326207442597,0.18527315914489312
Other,1389,0.0,2.5946724262059035,0.18934485241180707,0.08639308855291576
Party Supplies,38,0.0,2.0789473684210527,0.23684210526315788,0.05263157894736842
Pc Gamer,7,0.0,1.8571428571428572,0.2857142857142857,0.0
Perfumery,3145,0.0006359300476947536,3.2922098569157394,0.16915739268680446,0.14976152623211447
Pet Shop,1701,0.0,2.7207524985302762,0.18224573780129336,0.09876543209876543
Portateis Cozinha E Preparadores De Alimentos,14,0.0,2.0714285714285716,0.2857142857142857,0.07142857142857142
Security And Services,2,0.0,1.0,0.5,0.0
Signaling And Security,139,0.0,2.338129496402878,0.28776978417266186,0.09352517985611511
Small Appliances,625,0.0,3.5824,0.192,0.2096
Small Appliances Home Oven And Coffee,75,0.0,5.546666666666667,0.12,0.48
Sports Leisure,7668,0.0,2.481090245174752,0.20605112154407929,0.081377151799687
Stationery,2288,0.0,2.6569055944055946,0.17832167832167833,0.08697552447552448
Tablets Printing Image,76,0.0,3.289473684210526,0.2236842105263158,0.11842105263157894
Telephony,4177,0.0,2.246588460617668,0.2252813023701221,0.043093129039980846
Toys,3841,0.0,2.8948190575370996,0.1741733923457433,0.11351210622233793
Watches Gifts,5584,0.0,3.7763252148997135,0.16368194842406877,0.20970630372492838
